"ID","NhietDo","DoAm","TocDoGio","HuongGio","LuongMua","ThoiGian","KHTram","MaTram","P","NguyCo"
15402,26.4000000000,78.9000000000,0.9000000000,193.0000000000,0.0000000000,2025-03-14 11:20:00.000,SocSon,"2",0.0000000000,I
15401,26.5000000000,78.8000000000,1.2000000000,73.0000000000,0.0000000000,2025-03-14 11:19:00.000,SocSon,"2",0.0000000000,I
15400,26.5000000000,79.0000000000,0.8000000000,145.0000000000,0.0000000000,2025-03-14 11:18:00.000,SocSon,"2",0.0000000000,I
15399,26.4000000000,79.9000000000,0.8000000000,145.0000000000,0.0000000000,2025-03-14 11:17:00.000,SocSon,"2",0.0000000000,I
15398,26.4000000000,80.5000000000,0.1000000000,169.0000000000,0.0000000000,2025-03-14 11:16:00.000,SocSon,"2",0.0000000000,I
15397,26.3000000000,80.8000000000,0.1000000000,193.0000000000,0.0000000000,2025-03-14 11:15:00.000,SocSon,"2",0.0000000000,I
15396,26.2000000000,80.5000000000,0.2000000000,193.0000000000,0.0000000000,2025-03-14 11:14:00.000,SocSon,"2",0.0000000000,I
15395,26.2000000000,80.0000000000,0.8000000000,217.0000000000,0.0000000000,2025-03-14 11:13:00.000,SocSon,"2",0.0000000000,I
15394,26.1000000000,81.0000000000,0.2000000000,73.0000000000,0.0000000000,2025-03-14 11:12:00.000,SocSon,"2",0.0000000000,I
15393,26.0000000000,81.1000000000,0.6000000000,169.0000000000,0.0000000000,2025-03-14 11:11:00.000,SocSon,"2",0.0000000000,I
15392,26.0000000000,80.4000000000,1.8000000000,184.0000000000,0.0000000000,2025-03-14 11:10:00.000,SocSon,"2",0.0000000000,I
15391,26.0000000000,80.6000000000,2.0000000000,153.0000000000,0.0000000000,2025-03-14 11:09:00.000,SocSon,"2",0.0000000000,I
15390,26.0000000000,80.9000000000,1.1000000000,169.0000000000,0.0000000000,2025-03-14 11:08:00.000,SocSon,"2",0.0000000000,I
15389,26.0000000000,80.4000000000,1.2000000000,119.0000000000,0.0000000000,2025-03-14 11:07:00.000,SocSon,"2",0.0000000000,I
15388,25.9000000000,81.5000000000,1.0000000000,121.0000000000,0.0000000000,2025-03-14 11:06:00.000,SocSon,"2",0.0000000000,I
15387,25.9000000000,81.0000000000,1.4000000000,145.0000000000,0.0000000000,2025-03-14 11:05:00.000,SocSon,"2",0.0000000000,I
15386,25.9000000000,80.7000000000,1.4000000000,139.0000000000,0.0000000000,2025-03-14 11:04:00.000,SocSon,"2",0.0000000000,I
15385,25.9000000000,81.0000000000,1.8000000000,140.0000000000,0.0000000000,2025-03-14 11:03:00.000,SocSon,"2",0.0000000000,I
15384,25.9000000000,82.2000000000,1.0000000000,213.0000000000,0.0000000000,2025-03-14 11:02:00.000,SocSon,"2",0.0000000000,I
15383,25.9000000000,81.8000000000,0.8000000000,97.0000000000,0.0000000000,2025-03-14 11:01:00.000,SocSon,"2",0.0000000000,I
15382,25.9000000000,80.7000000000,1.4000000000,129.0000000000,0.0000000000,2025-03-14 11:00:00.000,SocSon,"2",0.0000000000,I
15381,25.9000000000,81.0000000000,1.4000000000,135.0000000000,0.0000000000,2025-03-14 10:59:00.000,SocSon,"2",0.0000000000,I
15380,25.8000000000,81.4000000000,1.4000000000,147.0000000000,0.0000000000,2025-03-14 10:58:00.000,SocSon,"2",0.0000000000,I
